"('2003-04-25', '2005-03-31')","('2005-04-01', '2007-11-30')","('2007-12-01', '2009-06-30')","('2009-07-01', '2012-02-29')","('2012-03-01', '2014-10-31')","('2014-11-01', '2017-06-30')","('2017-07-01', '2020-01-31')",win_max_consec,win_period,var_1,var_1_text,var_2,var_2_text
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1->1; 7->7,sp500Ret,0,tnote_10y,0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,1->3,PCAfreq,1,sCo,1
1.0,1.0,1.0,0.0,1.0,0.0,0.0,3,1->3,PCAfreq,1,sGom,1
1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1->1; 5->5; 7->7,DFX,0,fEnv,1
1.0,1.0,0.0,0.0,1.0,0.0,0.0,2,1->2,DFX,0,fEp,1
1.0,1.0,0.0,0.0,1.0,0.0,0.0,2,1->2,DFX,0,WIPI_8wk,0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,DFX,0,fGom,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,DFX,0,entropy,1
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1->1; 3->3; 6->6,DFX,0,PCAall,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1->2,DFX,0,PCAsent,1
1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1->1; 3->3; 5->5,DFX,0,PCAfreq,1
1.0,1.0,0.0,1.0,0.0,1.0,0.0,2,1->2,DFX,0,sEp,1
1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1->1; 3->3; 5->5,DFX,0,fRpc,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,DFX,0,sRpc,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,DFX,0,fEpg,1
1.0,1.0,0.0,0.0,1.0,0.0,0.0,2,1->2,basis,0,DFX,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,2,1->2,DFX,0,sEpg,1
1.0,0.0,0.0,1.0,0.0,1.0,1.0,2,6->7,StikIdx,0,fEnv,1
1.0,0.0,1.0,1.0,0.0,0.0,0.0,2,3->4,artcount,1,fRpc,1
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1->1; 3->3; 6->6,sEp,1,sGom,1
1.0,0.0,1.0,0.0,1.0,1.0,0.0,2,5->6,OpenInt,0,DProd,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,HedgPres,0,DProd,0
1.0,1.0,0.0,0.0,1.0,1.0,0.0,2,1->2; 5->6,DProd,0,WIPI_8wk,0
1.0,0.0,1.0,0.0,0.0,1.0,1.0,2,6->7,BEME,0,DProd,0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,basis,0,DProd,0
1.0,0.0,1.0,0.0,1.0,1.0,0.0,2,5->6,DProd,0,fEpg,1
1.0,0.0,1.0,0.0,1.0,1.0,0.0,2,5->6,DProd,0,PCAall,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,DProd,0,PCAsent,1
1.0,1.0,1.0,0.0,0.0,1.0,0.0,3,1->3,DProd,0,PCAfreq,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1->1; 4->4; 6->6,DProd,0,sEp,1
1.0,0.0,1.0,0.0,1.0,1.0,0.0,2,5->6,DProd,0,fRpc,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,DProd,0,sRpc,1
1.0,1.0,0.0,0.0,1.0,0.0,0.0,2,1->2,DProd,0,sEpg,1
1.0,0.0,0.0,0.0,1.0,1.0,1.0,3,5->7,DProd,0,fEnv,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,DProd,0,fGom,1
1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1->1; 3->3; 5->5,DProd,0,entropy,1
1.0,1.0,0.0,0.0,1.0,0.0,0.0,2,1->2,DFX,0,DProd,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,2,1->2,tnote_10y,0,fRpc,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,entropy,1,fBbl,1
1.0,0.0,1.0,1.0,0.0,0.0,0.0,2,3->4,Mom,0,DFX,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,sCo,1,fRpc,1
1.0,0.0,1.0,1.0,0.0,0.0,0.0,2,3->4,Mom,0,sBbl,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,WIPI_8wk,0,sCo,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,sp500Ret,0,sCo,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1->2,xomRet,0,DInv,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,vix_diff,0,WIPI_8wk,0
1.0,0.0,1.0,1.0,1.0,0.0,0.0,3,3->5,basis,0,fBbl,1
1.0,0.0,0.0,1.0,1.0,1.0,0.0,3,4->6,fBbl,1,sEnv,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,fEp,1,fGom,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,liquidity,0,sCo,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,tnote_10y,0,DFX,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,DSpot,0,entropy,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,InflaBeta,0,artcount,1
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1->1; 3->3; 6->6,sCo,1,sEp,1
1.0,0.0,0.0,0.0,1.0,1.0,1.0,3,5->7,fEp,1,fEnv,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,DFX,0,artcount,1
1.0,1.0,0.0,1.0,0.0,0.0,0.0,2,1->2,rdsaRet,0,liquidity,0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1->2,sp500Ret,0,sEpg,1
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1->1; 3->3; 6->6,sp500Ret,0,PCAfreq,1
1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1->2,sp500Ret,0,PCAsent,1
1.0,0.0,1.0,0.0,1.0,1.0,0.0,2,5->6,sp500Ret,0,PCAall,1
1.0,1.0,0.0,0.0,1.0,1.0,0.0,2,1->2; 5->6,WIPI_8wk,0,basis,0
1.0,0.0,1.0,0.0,0.0,1.0,1.0,2,6->7,sp500Ret,0,fRpc,1
1.0,1.0,0.0,0.0,1.0,0.0,1.0,2,1->2,DFX,0,sp500Ret,0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1->1; 7->7,WIPI_8wk,0,sp500Ret,0
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,sp500Ret,0,entropy,1
1.0,0.0,1.0,0.0,1.0,0.0,1.0,1,1->1; 3->3; 5->5; 7->7,basis,0,sp500Ret,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1->1,sp500Ret,0,fGom,1
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1->1; 3->3,sp500Ret,0,fEpg,1
1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1->1; 5->5; 7->7,sp500Ret,0,sRpc,1
1.0,0.0,1.0,1.0,0.0,1.0,1.0,2,3->4; 6->7,sp500Ret,0,sEp,1
1.0,0.0,1.0,0.0,1.0,0.0,1.0,1,1->1; 3->3; 5->5; 7->7,DProd,0,sp500Ret,0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,3,1->3,BEME,0,fBbl,1
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1->1; 7->7,vix_diff,0,sp500Ret,0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,sGom,1,entropy,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1->1; 5->5,DolBeta,0,fEp,1
